acquisitions_id,acquired_company,acquiring_company,year_of_acquisition_announcement,price,price_disclosed,status,terms,country_hq,country_hq_bidder,city_hq,city_hq_bidder,target_main_category,bidder_main_category,market_categories,market_categories_bidder,target_age_at_acquisition,bidder_age_at_acquisition,cross_border,same_country,target_has_category,number_of_acquisitions,number_of_employees,total_funding_usd,cluster
[24]7 acquired Tellme in 2012,Tellme,[24]7,2012,Undisclosed amount,0,Undisclosed,Undisclosed,,,,,Unknown,Unknown,,,,,0,0,0,,,,3
3Com acquired Palm in 1997,Palm,3Com,1997,Undisclosed amount,0,Undisclosed,Undisclosed,,,,,Unknown,Unknown,,,,,0,0,0,,,,3
Adobe Systems acquired Accelio Corporation in 2002,Accelio Corporation,Adobe,2002,Undisclosed amount,0,Undisclosed,Undisclosed,Canada,United States,Ottawa,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,20.0,1,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Aldus Corp in 1994,Aldus Corp,Adobe,1994,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Seattle,San Jose,Software,Photo Editing,Software,"Photo Editing, Design, Creative, Software, Image Recognition",10.0,12.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Amicima in 2006,Amicima,Adobe,2006,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Santa Cruz,San Jose,Software,Photo Editing,Software,"Photo Editing, Design, Creative, Software, Image Recognition",,24.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Ares Software in 1996,Ares Software,Adobe,1996,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,14.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Auditude in 2011,Auditude,Adobe,2011,"$120,000,000",1,Undisclosed,Cash,United States,United States,Palo Alto,San Jose,Monetization,Photo Editing,"Monetization, Advertising, Video","Photo Editing, Design, Creative, Software, Image Recognition",12.0,29.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Behance in 2012,Behance,Adobe,2012,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,New York City,San Jose,Curated Web,Photo Editing,Curated Web,"Photo Editing, Design, Creative, Software, Image Recognition",6.0,30.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired BluePoint Technologies in 1990,BluePoint Technologies,Adobe,1990,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,8.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Day Software in 2010,Day Software,Adobe,2010,"$240,000,000",1,Undisclosed,Cash,Switzerland,United States,Basel,San Jose,Software,Photo Editing,Software,"Photo Editing, Design, Creative, Software, Image Recognition",,28.0,1,0,1,38.0,11144.0,0.0,0
Adobe Systems acquired Demdex in 2011,Demdex,Adobe,2011,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,New York City,San Jose,Advertising,Photo Editing,"Advertising, SaaS","Photo Editing, Design, Creative, Software, Image Recognition",3.0,29.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired DigiDox in 1997,DigiDox,Adobe,1997,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,15.0,0,0,0,38.0,11144.0,0.0,3
